HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	Gene Family Tag	Gene family description	other1	one
HGNC:43841	ADAM12-OT1	ADAM12 overlapping transcript 1 (non-protein coding)	Approved		CAR10, FLJ31066	10q26.2	AK055628	LNCRNA, OVERLAPPING, fLNCRNA	"Long non-coding RNAs", "-", "-"
HGNC:34515	AIRN	antisense of IGF2R non-protein coding RNA	Approved		AIR, NCRNA00088, IGF2RAS, IGF2R-AS1	6q25.3		LNCRNA, ANTISENSE, fLNCRNA	"Long non-coding RNAs", "-", "-"
HGNC:10561	ATXN8OS	ATXN8 opposite strand (non-protein coding)	Approved	SCA8, KLHL1AS	NCRNA00003	13q21	AF126749	LNCRNA, ANTISENSE, fLNCRNA	"Long non-coding RNAs", "-", "-"
HGNC:37125	BACE1-AS	BACE1 antisense RNA	Approved	BACE1AS	FJ573250, NCRNA00177, BACE1-AS1	11q23.3		LNCRNA, ANTISENSE, fLNCRNA	"Long non-coding RNAs", "-", "-"
HGNC:43877	BANCR	BRAF-activated non-protein coding RNA	Approved		LINC00586	9q21.11	AA442164	LNCRNA, INTERGENIC, fLNCRNA	"Long non-coding RNAs", "-", "-"
HGNC:1022	BCYRN1	brain cytoplasmic RNA 1	Approved		BC200, BC200a, NCRNA00004, LINC00004	2p16	AF020057	LNCRNA, INTERGENIC, fLNCRNA	"Long non-coding RNAs", "-", "-"
HGNC:20608	BDNF-AS	BDNF antisense RNA	Approved	BDNFOS	BT2A, BT2B, BT2C, BT2D, NCRNA00049, BDNF-AS1	11p14.1	AY054391	LNCRNA, ANTISENSE, fLNCRNA	"Long non-coding RNAs", "-", "-"
HGNC:35125	BOK-AS1	BOK antisense RNA 1	Approved	BOKAS	NCRNA00151, NAToB	2q37.3		LNCRNA, ANTISENSE, fLNCRNA	"Long non-coding RNAs", "-", "-"
HGNC:45128	CCAT1	colon cancer associated transcript 1 (non-protein coding)	Approved			8q24.21	HM358356, AK125310	LNCRNA, INTERGENIC, fLNCRNA	"Long non-coding RNAs", "-", "-"
HGNC:34341	CDKN2B-AS1	CDKN2B antisense RNA 1	Approved		ANRIL, CDKN2BAS, RP11-145E5.4, NCRNA00089, p15AS, CDKN2B-AS	9p21.3	BC038540	LNCRNA, ANTISENSE, fLNCRNA	"Long non-coding RNAs", "-", "-"
HGNC:43715	CYP4A22-AS1	CYP4A22 antisense RNA 1	Approved		ncRNA-a3	1p33	BQ688560	LNCRNA, ANTISENSE, fLNCRNA	"Long non-coding RNAs", "-", "-"
HGNC:28964	DANCR	differentiation antagonizing non-protein coding RNA	Approved	KIAA0114, SNHG13	ANCR	4q12	BC015222	LNCRNA, INTERGENIC, fLNCRNA	"Long non-coding RNAs", "-", "-"
HGNC:20348	DIO3OS	DIO3 opposite strand/antisense RNA (head to head)	Approved	C14orf134	NCRNA00041, DIO3-AS1	14q32.31	AF305836	LNCRNA, ANTISENSE, fLNCRNA	"Long non-coding RNAs", "-", "-"
HGNC:2889	DISC2	disrupted in schizophrenia 2 (non-protein coding)	Approved		DISC1-AS1, DISC1OS, NCRNA00015	1q42.1	AF222981	LNCRNA, ANTISENSE, fLNCRNA	"Long non-coding RNAs", "-", "-"
HGNC:37132	DLG2-AS1	DLG2 antisense RNA 1	Approved	DLG2AS, DLG2-AS	PSZA11q14, SZ-1	11q14.1	AF525782	LNCRNA, ANTISENSE, fLNCRNA	"Long non-coding RNAs", "-", "-"
HGNC:37151	DLX6-AS1	DLX6 antisense RNA 1	Approved	NCRNA00212	FLJ34048, Evf-2	7q21.3		LNCRNA, ANTISENSE, fLNCRNA	"Long non-coding RNAs", "-", "-"
HGNC:37129	EGOT	eosinophil granule ontogeny transcript (non-protein coding)	Approved		EGO, NCRNA00190	3p26.1	BC039547	LNCRNA, ANTISENSE, fLNCRNA	"Long non-coding RNAs", "-", "-"
HGNC:18511	EMX2OS	EMX2 opposite strand/antisense RNA	Approved		NCRNA00045, EMX2-AS1	10q26.11	AY117034	LNCRNA, ANTISENSE, fLNCRNA	"Long non-coding RNAs", "-", "-"
HGNC:37128	FAS-AS1	FAS antisense RNA 1	Approved	FASAS, FAS-AS	SAF	10q24.1		LNCRNA, ANTISENSE, fLNCRNA	"Long non-coding RNAs", "-", "-"
HGNC:43894	FENDRR	FOXF1 adjacent non-coding developmental regulatory RNA	Approved	FOXF1-AS1	lincFOXF1	16q24.1	AK091834	LNCRNA, ANTISENSE, fLNCRNA	"Long non-coding RNAs", "-", "-"
HGNC:37190	FTX	FTX transcript, XIST regulator (non-protein coding)	Approved	NCRNA00182, MIR374AHG	LINC00182	Xq13.2	AK057701	LNCRNA, INTERGENIC, fLNCRNA	"Long non-coding RNAs", "-", "-"
HGNC:48336	GACAT1	gastric cancer associated transcript 1 (non-protein coding)	Approved		LINC00876, AC096655.1-002	2q12.3	DB096621	LNCRNA, INTERGENIC, fLNCRNA	"Long non-coding RNAs", "-", "-"
HGNC:16355	GAS5	growth arrest-specific 5 (non-protein coding)	Approved		SNHG2, NCRNA00030	1q25.1	BC038733	LNCRNA, INTERGENIC, fLNCRNA	"Long non-coding RNAs", "-", "-"
HGNC:24872	GNAS-AS1	GNAS antisense RNA 1	Approved	GNASAS, GNAS-AS	SANG, NESP-AS, NESPAS, GNAS1AS, NCRNA00075	20q13.32	AJ251759	LNCRNA, ANTISENSE, fLNCRNA	"Long non-coding RNAs", "-", "-"
HGNC:4713	H19	H19, imprinted maternally expressed transcript (non-protein coding)	Approved		D11S813E, ASM, ASM1, NCRNA00008, LINC00008	11p15.5	AF087017	LNCRNA, INTERGENIC, fLNCRNA	"Long non-coding RNAs", "-", "-"
HGNC:33117	HAR1A	highly accelerated region 1A (non-protein coding)	Approved		HAR1F, NCRNA00064, LINC00064	20q13.33	DQ860409, BC035016, BC047717	LNCRNA, INTERGENIC, fLNCRNA	"Long non-coding RNAs", "-", "-"
HGNC:33118	HAR1B	highly accelerated region 1B (non-protein coding)	Approved		HAR1R, NCRNA00065, LINC00065	20q13.33	DQ860410, DQ860411	LNCRNA, INTERGENIC, fLNCRNA	"Long non-coding RNAs", "-", "-"
HGNC:45049	HEIH	hepatocellular carcinoma up-regulated EZH2-associated long non-coding RNA	Approved		LINC-HEIH, lncRNA-HEIH, LINC00848, HCCAT2	5q35.3	BC019622	LNCRNA, INTERGENIC, fLNCRNA	"Long non-coding RNAs", "-", "-"
HGNC:43984	HELLPAR	HELLP associated long non-coding RNA	Approved		LINC-HELLP	12q23	JX088243	LNCRNA, ANTISENSE, fLNCRNA	"Long non-coding RNAs", "-", "-"
HGNC:33510	HOTAIR	HOX transcript antisense RNA	Approved		HOXC-AS4, HOXC11-AS1, NCRNA00072	12q13.13	DQ926657	LNCRNA, ANTISENSE, fLNCRNA	"Long non-coding RNAs", "-", "-"
HGNC:37117	HOTAIRM1	HOXA transcript antisense RNA, myeloid-specific 1	Approved		HOXA-AS1, NCRNA00179, HOXA1-AS1	7p15.2		LNCRNA, ANTISENSE, fLNCRNA	"Long non-coding RNAs", "-", "-"
HGNC:37461	HOTTIP	HOXA distal transcript antisense RNA	Approved	NCRNA00213	HOXA-AS6, RP1-170O19.3, HOXA13-AS1	7p15.2	GU724873	LNCRNA, ANTISENSE, fLNCRNA	"Long non-coding RNAs", "-", "-"
HGNC:43745	HOXA-AS2	HOXA cluster antisense RNA 2	Approved			7p15.2	BC035889	ANTISENSE, LNCRNA, fLNCRNA	"-", "Long non-coding RNAs", "-"
